id,created,updated,name,unit
1,1580336088,1580336088,Height,cm
2,1580336088,1580336088,Weight,kg
3,1580336088,1580336088,Wrist,cm
4,1580336088,1580336088,Ankle,cm
5,1580336088,1580336088,Chest,cm
6,1580336088,1580336088,Upper Arm,cm
7,1580336088,1580336088,Thigh,cm
8,1580336088,1580336088,Calf,cm
9,1580336088,1580336088,Shoulders,cm
10,1580336088,1580336088,Waist,cm
11,1580336088,1580336088,Hips,cm
12,1580336088,1580336088,Neck,cm
13,1580336088,1580336088,Forearm,cm
14,1580336088,1580336088,Pectoral,mm
15,1580336088,1580336088,Abdominal,mm
16,1580336088,1580336088,Quadricep,mm
17,1580336088,1580336088,Midaxillary,mm
18,1580336088,1580336088,Subscapular,mm
19,1580336088,1580336088,Tricep,mm
20,1580336088,1580336088,Suprailiac,mm
21,1580336088,1580336088,Body Fat (Custom),
22,1580336088,1580336088,Pulse,bpm
23,1580336088,1580336088,Systolic Blood Pressure,mmHg
24,1580336088,1580336088,Diastolic Blood Pressure,mmHg
25,1580336088,1580336088,Blood Glucose,mg/dL
26,1580336088,1580336088,Total Cholesterol,mg/dL
27,1580336088,1580336088,LDL Cholesterol,mg/dL
28,1580336088,1580336088,HDL Cholesterol,mg/dL
29,1580336088,1580336088,Triglycerides,mg/dL
