profile_id,nutr_id,rda
3,203,18
3,204,25
3,205,60
3,208,501
3,269,15
3,291,9
3,301,300
3,303,4
3,304,100
3,305,250
3,306,1300
3,307,350
3,309,3
3,312,0.2
3,315,0.6
3,317,15
3,318,1000
3,320,250
3,324,100
3,328,5
3,337,900
3,338,2000
3,401,30
3,404,0.3
3,405,0.35
3,406,4
3,410,1.25
3,415,0.4
3,417,100
3,418,0.6
3,421,110
3,430,30
3,501,0.1
3,502,0.3
3,503,0.5
3,504,1
3,505,0.8
3,506,0.3
3,508,0.3
3,509,0.4
3,510,0.5
3,511,0.3
3,512,0.2
3,513,0.3
3,514,0.3
3,515,0.5
3,516,0.2
3,517,0.2
3,518,0.4
3,601,50
3,605,0
3,606,7
3,621,0.1
3,629,0.05
3,645,10
3,646,6
3,710,8
3,711,4
3,713,11
3,731,5
3,734,10
3,735,5
3,736,5
3,737,2
3,738,1
3,749,10
3,750,10
3,751,10
3,752,10
3,753,15
3,759,20
3,762,15
3,770,8
3,773,5
3,785,5
3,786,1.5
3,788,0.5
3,789,5
3,851,0.3
